,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000198XA_Sa_1.3g,3.812861353687993,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000198XA_Sa_1.4g,4.106158380894761,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000198XA_Sa_1.5g,4.39945540810153,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_0.1g,0.6725541621267159,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000199XA_Sa_0.2g,1.3451083242534319,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000199XA_Sa_0.3g,2.017662486380148,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000199XA_Sa_0.4g,2.6902166485068637,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
000199XA_Sa_0.5g,3.3627708106335796,4.905,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_0.6g,4.035324972760296,5.886,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_0.7g,4.707879134887011,6.867,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_0.8g,5.380433297013727,7.848000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_0.9g,6.052987459140444,8.829,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_1.0g,6.725541621267159,9.81,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_1.1g,7.398095783393876,10.791000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_1.2g,8.070649945520591,11.772,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000199XA_Sa_1.3g,8.743204107647308,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
