,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000766XA_Sa_0.2g,1.8914830410920191,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000766XA_Sa_0.3g,2.8372245616380285,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000766XA_Sa_0.4g,3.7829660821840383,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000766XA_Sa_0.5g,4.728707602730047,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000766XA_Sa_0.6g,5.674449123276057,5.886,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000766XA_Sa_0.7g,6.620190643822066,6.867,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2
000766XA_Sa_0.8g,7.565932164368077,7.848000000000001,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,2
000766XA_Sa_0.9g,8.511673684914086,8.829,4.0,3.0,0.0,2.0,4.0,3.0,0.0,0.0,2
000766XA_Sa_1.0g,9.457415205460094,9.81,4.0,4.0,2.0,3.0,4.0,4.0,0.0,0.0,3
000766XA_Sa_1.1g,10.403156726006106,10.791000000000002,4.0,4.0,2.0,3.0,4.0,4.0,0.0,0.0,3
000766XA_Sa_1.2g,11.348898246552114,11.772,4.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,4
000766XA_Sa_1.3g,12.294639767098124,12.753000000000002,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,4
000766XA_Sa_1.4g,13.240381287644132,13.734,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,4
000766XA_Sa_1.5g,14.186122808190143,14.715,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,4
000948XA_Sa_0.1g,0.7925906103746585,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000948XA_Sa_0.2g,1.585181220749317,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
